NO2 Mean,O3 Mean,SO2 Mean,CO Mean,AirQualityCategory
1.3547327551992052,5.373778698610687,1.0,1.0,Good
1.2176769179631486,5.669572899466782,1.0011659634667702,1.5943392494712207,Moderate
3.865904181867056,1.2208281185911256,1.0571824391760591,2.3784684296767336,Moderate
1.857270846563701,4.971498585446399,1.517683637776914,1.4644839273910732,Bad
2.923689094240218,1.453582659360769,1.048665899727944,2.298556816806074,Moderate
2.2576888593426365,3.7962727301410335,1.0582976976292269,1.4594890770028446,Good
1.5724096731623538,5.259436492327756,1.0909444228527012,1.1798002299578347,Moderate
1.5240370247260986,4.896627157325705,1.0163233486202876,1.0,Bad
4.0108308939723365,1.2642743708128688,1.7613680435289545,2.4483903417709363,Moderate
1.66459813755844,7.057865233532808,1.0279828993392923,1.2597118428284946,Bad
2.517078415008472,4.608689250444348,1.0692208503692189,1.1148719695836613,Bad
1.941067881896524,5.058296435745612,1.3027240979401478,1.3695889620239272,Bad
2.517078415008472,2.1871522774838823,1.058399107656432,3.402331249826026,Good
1.8868318879980128,4.671823564675073,1.2903225806451613,1.2247502874472935,Moderate
1.9620782515089203,3.4728395191569468,1.1818888457054022,1.7341842723278256,Good
1.8465213476344668,5.55523069318385,1.122425184609405,1.7192009198313394,Bad
3.2798239467785635,2.2383601695360893,1.0291995398367664,1.5493891919817622,Moderate
1.8492087384909917,3.3308583027460217,1.3322969296541003,1.3446171074191833,Good
2.037324550522963,5.365922404635949,1.1562378453167508,1.0649282603741737,Bad
1.4010022253783163,4.423356435955954,1.0559657986785853,1.5593788927582195,Good
1.30636010676295,5.618365007414575,1.1189273221919938,1.2397336399437795,Moderate
2.253482567325213,2.1831768034243764,1.2567126840264282,1.11986681997189,Good
1.5912212801642969,4.159082065143085,1.167897396035756,1.5793558969747346,Good
2.131382521035814,5.697211909594775,1.0570151574038087,1.3695889620239272,Bad
2.3786204804332747,3.050871343983677,1.3701374488923437,1.639289306960679,Moderate
2.3060615077788915,5.354090636601706,1.0921103863194714,1.4644839273910732,Moderate
1.905643494999956,3.997412786723179,1.1235911480761758,1.1947835824543211,Moderate
2.247874113471785,6.6871049504117455,1.0060832304702685,1.2197554370590649,Bad
1.722902335687304,3.0823911740269025,1.064127486980179,1.779134329817284,Good
2.3786204804332747,3.382160848942503,1.0992121103769918,1.6592675098453944,Good
3.163332354342592,5.361946930576443,1.228527020598523,1.6742508623418806,Bad
2.0319498333067787,2.2581428856893453,1.064127486980179,1.4794672798875594,Good
2.2388772523406937,2.530273550476952,1.0069957248348231,1.469478777779302,Good
2.442384402645842,2.869419349410515,1.0597816587640887,2.348501724683761,Good
2.6258584398307354,3.2756749366343088,1.5748153999222696,1.6842393644501383,Bad
2.303958329521748,6.249329533144726,1.2457628635833655,2.5133186021451097,Bad
2.9698417605975718,3.263843168600065,1.2506801305868636,1.484462130275788,Moderate
3.9948979110304026,1.5994446956869262,1.1046316984065294,3.4372916065390275,Moderate
4.555740200523762,2.2659991796640826,1.048665899727944,3.287458081574165,Bad
2.1985667119771475,2.471114710305733,1.0676253493975905,1.4345172223981009,Good
2.385280491166843,4.557386704247867,1.266445863972017,1.2397336399437795,Bad
2.3432173130051543,3.204684328428846,1.0255495903614458,1.779134329817284,Good
2.0588235483814312,3.524142065353428,1.1539059463661097,1.3995556670168998,Bad
1.7481636291474143,3.6936676377480726,1.008516539448115,1.3995556670168998,Good
1.8062108072709209,3.3308583027460217,1.037776914108045,1.9800874574955585,Good
2.390888880523407,2.9955933237276904,1.0109498204430625,1.2197554370590649,Good
2.253482567325213,4.553505884332635,1.0734551107656432,1.5993340998594494,Bad
1.833084522345573,4.880819915231955,1.1900505340069958,1.0149833524964862,Moderate
2.3095667833751765,4.723031456727281,1.0060832304702685,1.2647054945485237,Good
1.5496254462833672,5.736682687757012,1.1233791496307812,1.3596004599156697,Bad
